song_id,kl_mixed,kl_sep
68.0,1.0572546,0.69186425
176.0,0.1549052,0.17730594
294.0,1.813417,1.8138487
1.0,0.17267871,0.12373626
688.0,0.44837093,1.0677526
327.0,0.15115643,0.24350142
647.0,0.49934244,0.46140814
779.0,2.0398493,2.1914647
979.0,1.5645599,2.9051325
562.0,4.8310137,3.519021
637.0,0.60422254,1.37539
161.0,0.88311255,1.3576531
668.0,2.5131607,3.0587916
608.0,1.6365628,1.3742218
86.0,4.6305,3.8350072
580.0,1.5078065,1.7643836
382.0,2.5926192,2.5737553
896.0,0.272308,0.4232781
273.0,1.8907549,0.9203291
461.0,3.6328897,4.7686424
306.0,0.79758906,0.77140546
615.0,0.22950602,0.22103286
12.0,0.7155107,0.46514058
717.0,3.5498257,2.4631402
48.0,4.7156467,4.888214
454.0,2.969476,3.3978643
700.0,2.0515842,0.7932079
511.0,0.29165816,0.2747649
808.0,4.0895014,3.8740015
555.0,1.9580631,1.5053945
835.0,0.21443963,0.23773074
967.0,0.91399646,0.8716295
578.0,1.9632413,1.7207365
172.0,0.37344456,0.07287729
776.0,1.0980425,1.2208529
253.0,1.0840418,0.9996002
854.0,5.7233944,3.891056
76.0,0.039875746,0.20677507
997.0,0.19950068,0.20064092
780.0,0.1393398,0.15415764
353.0,3.7886767,2.490181
715.0,0.3792901,0.3983673
139.0,1.3933003,2.0630953
298.0,0.7793157,0.7106875
70.0,0.8667562,1.2534103
307.0,4.0304866,3.828895
78.0,1.0646198,1.5599358
117.0,2.8116624,3.7883353
141.0,0.33998883,0.3356248
1000.0,2.187486,2.3860922
126.0,0.5367228,0.33337998
71.0,0.39548898,0.5358803
17.0,2.249279,3.4312353
349.0,1.1530373,1.3308756
544.0,3.572793,5.348603
28.0,4.6671624,4.7083483
199.0,2.1280441,2.5923786
477.0,1.3799622,1.3950832
192.0,2.7050054,2.2128835
235.0,1.5383356,1.5669808
332.0,0.6939026,0.32451105
635.0,3.2773318,3.0547328
337.0,2.746932,3.3272352
277.0,0.7762109,0.5885788
468.0,3.5312505,3.5860362
234.0,0.39965832,0.4219123
238.0,2.612667,1.6465874
722.0,1.6326394,1.7049513
186.0,0.30147743,0.613605
590.0,1.9388528,1.4398642
269.0,0.21107388,0.17032242
842.0,2.795516,2.5961561
707.0,0.19965053,0.3929882
32.0,0.76646113,0.8100405
207.0,3.3547745,3.7209215
794.0,0.026684523,0.09382069
583.0,0.83087516,0.9469856
386.0,0.3758241,0.5149454
65.0,1.2071071,1.1829891
561.0,3.4603152,4.8518515
411.0,4.4389663,3.4471693
654.0,0.5950868,1.2535765
984.0,0.49746788,0.50839305
638.0,1.6055999,1.7373106
373.0,6.1645427,5.643915
432.0,2.7003894,3.1684947
514.0,5.789036,4.7131042
505.0,2.527743,2.2398753
143.0,0.29176486,0.24674106
752.0,2.563765,2.3395839
625.0,0.9476619,0.7739837
738.0,0.52627707,0.76075006
616.0,4.7325983,5.043606
789.0,3.4662232,2.777401
425.0,0.69002223,0.6722183
331.0,0.24926758,0.2692095
567.0,2.4250274,2.3436515
107.0,0.45933223,1.2546518
744.0,0.42666197,0.3597226
522.0,2.222331,0.49247885
381.0,2.5895221,2.0623088
603.0,1.2568629,1.1721523
448.0,0.3143059,0.24705434
302.0,1.7814465,1.7367201
478.0,0.808316,1.3719313
152.0,3.8824258,3.9411325
900.0,0.07797146,0.17273724
225.0,1.0807159,1.7124298
242.0,0.6548295,0.9543098
239.0,1.4383831,1.3420923
265.0,2.7130919,2.329767
347.0,5.251714,5.3165765
653.0,0.38944077,0.30004406
237.0,1.516756,1.0208352
116.0,2.6576123,2.3773153
49.0,1.3448272,0.9277053
4.0,0.4532838,0.5713692
592.0,0.5238993,3.1845155
996.0,1.256763,0.9772742
450.0,0.8614626,0.61991966
409.0,1.100285,1.2050271
595.0,0.080468535,0.2527058
469.0,0.26304185,0.36058748
367.0,3.9028664,4.360769
196.0,2.440643,1.2283435
348.0,5.7509,4.2742796
507.0,0.2820903,0.18874288
813.0,1.6412268,1.4474659
823.0,3.4055462,3.5839133
685.0,0.5391638,0.47364926
932.0,0.69583,0.16815603
832.0,0.89412,0.53530025
46.0,6.3814483,5.684594
158.0,2.3620334,1.070575
624.0,8.716799,7.9225874
50.0,3.5483885,2.339947
892.0,0.44225526,0.20180333
916.0,9.072011,7.9620295
232.0,1.0056996,1.4380231
517.0,9.453293,10.671276
820.0,1.3252463,1.2965829
212.0,0.105507374,0.15398955
741.0,1.4409416,1.4312217
424.0,1.5508981,1.4960341
370.0,8.50942,9.834847
660.0,2.75597,4.912616
546.0,2.6975355,1.7504578
407.0,0.59670186,0.7422507
598.0,0.57463586,0.3374251
5.0,2.3947499,2.1340318
558.0,0.59360015,0.64246726
848.0,0.31303978,0.3189404
719.0,2.473683,2.8932385
66.0,0.89938116,0.6797397
